bookNo,bookName,bookAuthor,bookPrice,bookDate,bookStock,pubNo
1001,데이터베이스 이론,홍길동,22000,2018-11-11,5,3
1002,자바 프로그래밍,이몽룡,25000,2020-12-12,4,1
1003,인터넷프로그래밍,성춘향,30000,2019-02-10,10,2
1004,안드로이드 프로그래밍,변학도,23000,2017-10-10,2,1
1005,안드로이드 앱,강길동,26000,2019-01-11,5,2
1006,MS SQL SERVER,박지성,35000,2019-03-25,7,3
1007,HTML & CSS,손홍민,18000,2021-05-30,3,1
1008,MFC 입문,류현진,20000,2014-12-12,5,1
1009,안드로이드 게임 제작,나길동,33000,2017-10-31,5,2
1010,C++객체지향 프로그래밍,김길동,24000,2016-04-20,2,3
1011,JSP 웹 프로그래밍,김연아,27000,2021-10-23,8,1
1012,해커들의 해킹 기법,손연재,32000,2017-07-07,1,2
1013,자료구조,홍길동,19000,2019-01-20,4,1
1014,웹 해킹과 침해사고 분석,성춘향,35000,2017-11-25,5,2
1015,자바스크립 & jQuery,홍길동,27000,2018-10-22,2,2
